"","alpha","dis_result3","baba_result3","jnj_result3","fb_result3"
"1",0.01,0.167141482597604,0.0548265653266484,0.446392206139239,0.331639745936508
"2",0.05,0.168476608901701,0.055170362022742,0.451448744313558,0.324904284761999
"3",0.1,0.172749323496318,0.0556729559645824,0.457799712157228,0.313778008381871
"4",0.2,0.184032875721269,0.0547875639478769,0.476084644439031,0.285094915891825
"5",0.3,0.186727623646627,0.0528484784238223,0.484699759463687,0.275724138465865
"6",0.4,0.201296491702932,0.0489187904657099,0.501710342873999,0.24807437495736
"7",0.5,0.210954963697483,0.053618327510281,0.516164584987916,0.21926212380432
"8",0.6,0.212160136697333,0.0541299464035613,0.556945325681016,0.176764591218091
"9",0.7,0.220337381320019,0.025566564242437,0.601178162328931,0.152917892108612
"10",0.8,0.243342429210114,0.026263908224318,0.595470904581254,0.134922757984314
"11",0.9,0.239103655877244,0.0346013277227546,0.583037692158181,0.143257324241821
"12",0.95,0.222127723422505,0.0341670172823517,0.653569096765895,0.0901361625292485
"13",0.99,0.220337590576688,0.0791935238388358,0.700468885584476,0
