"","alpha","dis_resultfree3","baba_resultfree3","jnj_resultfree3","fb_resultfree3","bond_resultfree3"
"1",0.01,0.0288614132583914,0.0161274206354188,0.0892312044362771,0.075346952830598,0.790433008839315
"2",0.05,0.0301656047944403,0.0168996652041089,0.0905098220730487,0.0693090866986523,0.79311582122975
"3",0.1,0.0306744613100273,0.015107692172228,0.0901776627756995,0.067723236701713,0.796316947040333
"4",0.2,0.0344123018891603,0.0148700600328238,0.0848963597992415,0.0590324928027061,0.806788785476069
"5",0.3,0.0324680599610701,0.0141000257939945,0.0847158633393138,0.0539878226438722,0.81472822826175
"6",0.4,0.0311743678830308,0.0101050283716819,0.0778613282078567,0.0461709221462575,0.834688353391173
"7",0.5,0.0343370094673692,0.00917808080277559,0.0766526052874255,0.0403068060048912,0.839525498437539
"8",0.6,0.0366887938339936,0.00893614034797953,0.0706204684632146,0.0346315726139384,0.849123024740874
"9",0.7,0.0348539520422726,0.00493159626765176,0.0858909144160164,0.0291990299553559,0.845124507318704
"10",0.8,0.0399107279305466,0.00662339743682411,0.0752128722857926,0.0212691696338452,0.856983832712991
"11",0.9,0.0406436246393911,0,0.080210145616394,0.00756058701423205,0.871585642729983
"12",0.95,0.0388605772765395,0,0.0517917939849295,0.0107976952583737,0.898549933480157
"13",0.99,0.0457635251150737,0,0.0446436712727257,0.0130577491118849,0.896535054500316
