"","targetRisk","targetReturn"
"1",4.25399039115094,0.101052281432873
"2",3.61301193907278,0.107240981629821
"3",3.16014198703616,0.113429683332565
"4",2.98193609058553,0.119618385035308
"5",2.95455523645398,0.125807086738052
"6",2.93829858912358,0.131995788440796
"7",2.92678882078378,0.13818449014354
"8",2.91932763548539,0.144373191846284
"9",2.9159461113637,0.150561893549027
"10",2.91665843812228,0.156750595251771
"11",2.92146162120731,0.162939296954515
"12",2.93033554442645,0.169127998657259
"13",2.94324338798126,0.175316700360003
"14",2.96013238185158,0.181505402062746
"15",2.98093485915101,0.18769410376549
"16",3.00556956168735,0.193882805468234
"17",3.03394314136008,0.200071507170978
"18",3.06595179660326,0.206260208873721
"19",3.1014829827694,0.212448910576465
"20",3.14041713868493,0.218637612279209
"21",3.18262937784287,0.224826313981953
"22",3.22799110093188,0.231015015684697
"23",3.27637149571089,0.23720371738744
"24",3.32763889978206,0.243392419090184
"25",3.38166201090576,0.249581120792928
"26",3.43831093763902,0.255769822495672
"27",3.49745808995584,0.261958524198416
"28",3.55897891498833,0.268147225901159
"29",3.6227524871139,0.274335927603903
"30",3.68866196440836,0.280524629306647
"31",3.75659492515235,0.286713331009391
"32",3.82644359881501,0.292902032712134
"33",3.89810500594441,0.299090734414878
"34",3.97148102085983,0.305279436117622
"35",4.04647837013314,0.311468137820366
"36",4.1230713647999,0.31765683952311
"37",4.20158501169225,0.323845541225853
"38",4.28198855960643,0.330034242928597
"39",4.36417755385859,0.336222944631341
"40",4.44805302368185,0.342411646334085
"41",4.53352136470611,0.348600348036829
"42",4.62049418459623,0.354789049739572
"43",4.70888812124558,0.360977751442316
"44",4.79862464147877,0.36716645314506
"45",4.88962982689755,0.373355154847804
"46",4.98183415232225,0.379543856550547
"47",5.07517226124217,0.385732558253291
"48",5.18008122559841,0.391921259956035
"49",5.36144844375996,0.398109961658779
"50",5.62296148835661,0.404298657337003
